source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD008934-Sample-11	Homo sapiens	left ventricle	heart failure, normal	cardiomyocytes	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	350m/z-1600m/z	Prosser_1288.raw	v1.1.0	HAMLET-agentic v2.1.0	heart failure, normal
PXD008934-Sample-12	Homo sapiens	left ventricle	heart failure, normal	cardiomyocytes	not available	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	350m/z-1600m/z	Prosser_1290.raw	v1.1.0	HAMLET-agentic v2.1.0	heart failure, normal
PXD008934-Sample-13	Homo sapiens	left ventricle	heart failure, normal	cardiomyocytes	not available	not available	not available	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	350m/z-1600m/z	Prosser_1304.raw	v1.1.0	HAMLET-agentic v2.1.0	heart failure, normal
PXD008934-Sample-14	Homo sapiens	left ventricle	heart failure, normal	cardiomyocytes	not available	not available	not available	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	350m/z-1600m/z	Prosser_1311.raw	v1.1.0	HAMLET-agentic v2.1.0	heart failure, normal
PXD008934-Sample-15	Homo sapiens	left ventricle	heart failure, normal	cardiomyocytes	not available	not available	not available	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	350m/z-1600m/z	Prosser_1320.raw	v1.1.0	HAMLET-agentic v2.1.0	heart failure, normal
PXD008934-Sample-16	Homo sapiens	left ventricle	heart failure, normal	cardiomyocytes	not available	not available	not available	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	350m/z-1600m/z	Prosser_1325.raw	v1.1.0	HAMLET-agentic v2.1.0	heart failure, normal
PXD008934-Sample-17	Homo sapiens	left ventricle	heart failure, normal	cardiomyocytes	not available	not available	not available	run 17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	350m/z-1600m/z	Prosser_1339.raw	v1.1.0	HAMLET-agentic v2.1.0	heart failure, normal
PXD008934-Sample-18	Homo sapiens	left ventricle	heart failure, normal	cardiomyocytes	not available	not available	not available	run 18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	350m/z-1600m/z	Prosser_1356.raw	v1.1.0	HAMLET-agentic v2.1.0	heart failure, normal
PXD008934-Sample-19	Homo sapiens	left ventricle	heart failure, normal	cardiomyocytes	not available	not available	not available	run 19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	350m/z-1600m/z	Prosser_1366.raw	v1.1.0	HAMLET-agentic v2.1.0	heart failure, normal
PXD008934-Sample-20	Homo sapiens	left ventricle	heart failure, normal	cardiomyocytes	not available	not available	not available	run 20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	350m/z-1600m/z	Prosser_1375.raw	v1.1.0	HAMLET-agentic v2.1.0	heart failure, normal
PXD008934-Sample-21	Homo sapiens	left ventricle	heart failure, normal	cardiomyocytes	not available	not available	not available	run 21	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	350m/z-1600m/z	Prosser_1379.raw	v1.1.0	HAMLET-agentic v2.1.0	heart failure, normal
PXD008934-Sample-22	Homo sapiens	left ventricle	heart failure, normal	cardiomyocytes	not available	not available	not available	run 22	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	350m/z-1600m/z	Prosser_1383.raw	v1.1.0	HAMLET-agentic v2.1.0	heart failure, normal
PXD008934-Sample-23	Homo sapiens	left ventricle	heart failure, normal	cardiomyocytes	not available	not available	not available	run 23	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	350m/z-1600m/z	Prosser_1425.raw	v1.1.0	HAMLET-agentic v2.1.0	heart failure, normal
PXD008934-Sample-24	Homo sapiens	left ventricle	heart failure, normal	cardiomyocytes	not available	not available	not available	run 24	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	350m/z-1600m/z	Prosser_1427.raw	v1.1.0	HAMLET-agentic v2.1.0	heart failure, normal
PXD008934-Sample-25	Homo sapiens	left ventricle	heart failure, normal	cardiomyocytes	not available	not available	not available	run 25	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	350m/z-1600m/z	Prosser_1462.raw	v1.1.0	HAMLET-agentic v2.1.0	heart failure, normal
PXD008934-Sample-26	Homo sapiens	left ventricle	heart failure, normal	cardiomyocytes	not available	not available	not available	run 26	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	350m/z-1600m/z	Prosser_1467.raw	v1.1.0	HAMLET-agentic v2.1.0	heart failure, normal
PXD008934-Sample-27	Homo sapiens	left ventricle	heart failure, normal	cardiomyocytes	not available	not available	not available	run 27	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	350m/z-1600m/z	Prosser_1472.raw	v1.1.0	HAMLET-agentic v2.1.0	heart failure, normal
PXD008934-Sample-28	Homo sapiens	left ventricle	heart failure, normal	cardiomyocytes	not available	not available	not available	run 28	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	350m/z-1600m/z	Prosser_1510.raw	v1.1.0	HAMLET-agentic v2.1.0	heart failure, normal
PXD008934-Sample-29	Homo sapiens	left ventricle	heart failure, normal	cardiomyocytes	not available	not available	not available	run 29	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	350m/z-1600m/z	Prosser_1535.raw	v1.1.0	HAMLET-agentic v2.1.0	heart failure, normal
PXD008934-Sample-30	Homo sapiens	left ventricle	heart failure, normal	cardiomyocytes	not available	not available	not available	run 30	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	350m/z-1600m/z	Prosser_1605.raw	v1.1.0	HAMLET-agentic v2.1.0	heart failure, normal
PXD008934-Sample-31	Homo sapiens	left ventricle	heart failure, normal	cardiomyocytes	not available	not available	not available	run 31	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	350m/z-1600m/z	Prosser_1086.raw	v1.1.0	HAMLET-agentic v2.1.0	heart failure, normal
PXD008934-Sample-32	Homo sapiens	left ventricle	heart failure, normal	cardiomyocytes	not available	not available	not available	run 32	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	350m/z-1600m/z	Prosser_1228.raw	v1.1.0	HAMLET-agentic v2.1.0	heart failure, normal
PXD008934-Sample-33	Homo sapiens	left ventricle	heart failure, normal	cardiomyocytes	not available	not available	not available	run 33	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	350m/z-1600m/z	Prosser_1602.raw	v1.1.0	HAMLET-agentic v2.1.0	heart failure, normal
PXD008934-Sample-34	Homo sapiens	left ventricle	heart failure, normal	cardiomyocytes	not available	not available	not available	run 34	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	20 ppm	20 ppm	dithiothreitol	iodoacetamide	orbitrap	350m/z-1600m/z	Prosser_1200.raw	v1.1.0	HAMLET-agentic v2.1.0	heart failure, normal
