Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[ancestry category]	Characteristics[age]	Characteristics[sex]	Characteristics[treatment]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[biological replicate]	Characteristics[synthetic peptide]	assay name	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[fractionation method]	comment[label]	comment[cleavage agent details]	comment[ms2 mass analyzer]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Material Type	factor value[cell line]	factor value[treatment]	sampleChecksum	sampleAccession
PXD015957-Sample 11	Homo sapiens	not applicable	not available	metastatic melanoma tumor	not available	53Y	male	overexpressed both PSMB8 and PSMB10	not available	12T	2	not synthetic	run 11	12T_OE2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD015957/12T_OE2.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT= Q Exactive Plus;AC=MS:1002634	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	cell	12T	overexpressed both PSMB8 and PSMB10	f0d8062c3413b4bb516bf67690f1ebd433ae9247f5b9458a49bd2dde7a20c45a	SAMEA7714810
PXD015957-Sample 12	Homo sapiens	not applicable	not available	metastatic melanoma tumor	not available	53Y	male	overexpressed both PSMB8 and PSMB11	not available	12T	3	not synthetic	run 12	12T_OE3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD015957/12T_OE3.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT= Q Exactive Plus;AC=MS:1002634	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	cell	12T	overexpressed both PSMB8 and PSMB11	ea291d2d651c068e5be10d85153e5f33cf2b8832fd3206d02e24ac0b85d63dc8	SAMEA7714811
PXD015957-Sample 13	Homo sapiens	not applicable	not available	metastatic melanoma tumor	not available	25Y	female	IFNy	not available	108T	1	not synthetic	run 13	108T_IFN1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD015957/108T_IFN1.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT= Q Exactive Plus;AC=MS:1002634	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	cell	108T	IFNy	303d90e6c1317598e86213d4d64a7c6b9a83617e69f3c771a6e4a19c426096a2	SAMEA7714812
PXD015957-Sample 14	Homo sapiens	not applicable	not available	metastatic melanoma tumor	not available	25Y	female	IFNy	not available	108T	2	not synthetic	run 14	108T_IFN2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD015957/108T_IFN2.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT= Q Exactive Plus;AC=MS:1002634	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	cell	108T	IFNy	874a140d27128ebe909d93495b8aef64ead90e7a1210129b06fe288bacae2c63	SAMEA7714813
PXD015957-Sample 15	Homo sapiens	not applicable	not available	metastatic melanoma tumor	not available	25Y	female	IFNy	not available	108T	3	not synthetic	run 15	108T_IFN3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD015957/108T_IFN3.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT= Q Exactive Plus;AC=MS:1002634	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	cell	108T	IFNy	7d42461bbb81dd9b2586caa5f539cb666866c09c1d08261b902132813c2f56de	SAMEA7714814
PXD015957-Sample 16	Homo sapiens	not applicable	not available	metastatic melanoma tumor	not available	25Y	female	control	not available	108T	1	not synthetic	run 16	108T_NT1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD015957/108T_NT1.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT= Q Exactive Plus;AC=MS:1002634	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	cell	108T	control	c11501d4edb765acb36be5c96c2b7a578af15da335e61fac8d14d91033242c61	SAMEA7714815
PXD015957-Sample 17	Homo sapiens	not applicable	not available	metastatic melanoma tumor	not available	25Y	female	control	not available	108T	2	not synthetic	run 17	108T_NT2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD015957/108T_NT2.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT= Q Exactive Plus;AC=MS:1002634	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	cell	108T	control	70e49e479ba2e7bb06bda34c7766a6dab0f428515dcebf5fb5dc4603064ec8e9	SAMEA7714816
PXD015957-Sample 18	Homo sapiens	not applicable	not available	metastatic melanoma tumor	not available	25Y	female	control	not available	108T	3	not synthetic	run 18	108T_NT3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD015957/108T_NT3.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT= Q Exactive Plus;AC=MS:1002634	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	cell	108T	control	56b09ab1d5e55cf98549dfb320e46a70d0f7d32a12441c49d7145ddf3b069003	SAMEA7714817
PXD015957-Sample 19	Homo sapiens	not applicable	not available	metastatic melanoma tumor	not available	25Y	female	vector control	not available	108T	1	not synthetic	run 19	108T_EV1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD015957/108T_EV1.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT= Q Exactive Plus;AC=MS:1002634	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	cell	108T	vector control	58b0c9a5f187210de0aa2b00880a1741c73ff2c30faf875622235f9cd282c7ef	SAMEA7714818
PXD015957-Sample 20	Homo sapiens	not applicable	not available	metastatic melanoma tumor	not available	25Y	female	vector control	not available	108T	2	not synthetic	run 20	108T_EV2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD015957/108T_EV2.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT= Q Exactive Plus;AC=MS:1002634	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	cell	108T	vector control	3d59e5bd11285f7dd4a752a9e74d6cb2a07181aa8709ca2f68995d3737bc5568	SAMEA7714819
PXD015957-Sample 21	Homo sapiens	not applicable	not available	metastatic melanoma tumor	not available	25Y	female	vector control	not available	108T	3	not synthetic	run 21	108T_EV3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD015957/108T_EV3.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT= Q Exactive Plus;AC=MS:1002634	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	cell	108T	vector control	2fe7f141c852e8268801eaa7ebe1d11e8e0155da99eed038dd75e795c0b7bf5f	SAMEA7714820
PXD015957-Sample 22	Homo sapiens	not applicable	not available	metastatic melanoma tumor	not available	25Y	female	overexpressed both PSMB8 and PSMB9	not available	108T	1	not synthetic	run 22	108T_OE1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD015957/108T_OE1.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT= Q Exactive Plus;AC=MS:1002634	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	cell	108T	overexpressed both PSMB8 and PSMB9	f7c703bab32a1366a973ab36f1cf64561f0c6a7c614957ac769202934ff97417	SAMEA7714821
PXD015957-Sample 23	Homo sapiens	not applicable	not available	metastatic melanoma tumor	not available	25Y	female	overexpressed both PSMB8 and PSMB10	not available	108T	2	not synthetic	run 23	108T_OE2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD015957/108T_OE2.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT= Q Exactive Plus;AC=MS:1002634	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	cell	108T	overexpressed both PSMB8 and PSMB10	e40d219b840d8997b44d4347c175caec658e19087ca6a507ff65f35f1f0b7474	SAMEA7714822
PXD015957-Sample 24	Homo sapiens	not applicable	not available	metastatic melanoma tumor	not available	25Y	female	overexpressed both PSMB8 and PSMB11	not available	108T	3	not synthetic	run 24	108T_OE3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD015957/108T_OE3.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT= Q Exactive Plus;AC=MS:1002634	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	cell	108T	overexpressed both PSMB8 and PSMB11	c5e76ec2f871dd297679a870b4728aef595d888fb695b5558624809e617bfc69	SAMEA7714823
PXD015957-Sample 25	Homo sapiens	not applicable	not available	malignant melanoma	not available	54Y	female	vector control	not available	A375	1	not synthetic	run 25	A375_EV1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD015957/A375_EV1.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT= Q Exactive Plus;AC=MS:1002634	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	cell	A375	vector control	07a05564ea8056546ed2fdf8938b35329db2641ed9ffffd1c0cb970d75ae2405	SAMEA7714824
PXD015957-Sample 26	Homo sapiens	not applicable	not available	malignant melanoma	not available	54Y	female	vector control	not available	A375	2	not synthetic	run 26	A375_EV2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD015957/A375_EV2.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT= Q Exactive Plus;AC=MS:1002634	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	cell	A375	vector control	37f3fbe2f5fd883ffac30d7b292534b483179c73fca735602b6c6a92079c735e	SAMEA7714825
PXD015957-Sample 27	Homo sapiens	not applicable	not available	malignant melanoma	not available	54Y	female	vector control	not available	A375	3	not synthetic	run 27	A375_EV3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD015957/A375_EV3.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT= Q Exactive Plus;AC=MS:1002634	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	cell	A375	vector control	b9d24ecc022d90c8211be160a135520e6cbc03715d38b116e48f4ee3c4745df3	SAMEA7714826
PXD015957-Sample 28	Homo sapiens	not applicable	not available	malignant melanoma	not available	54Y	female	overexpressed both PSMB8 and PSMB9	not available	A375	1	not synthetic	run 28	A375_OE1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD015957/A375_OE1.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT= Q Exactive Plus;AC=MS:1002634	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	cell	A375	overexpressed both PSMB8 and PSMB9	4552769512398451e608a8c5414e3ede34d1fcb03d4e2bf733ac04380f7aeca3	SAMEA7714827
PXD015957-Sample 29	Homo sapiens	not applicable	not available	malignant melanoma	not available	54Y	female	overexpressed both PSMB8 and PSMB10	not available	A375	2	not synthetic	run 29	A375_OE2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD015957/A375_OE2.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT= Q Exactive Plus;AC=MS:1002634	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	cell	A375	overexpressed both PSMB8 and PSMB10	c711d3003519c7819bf2c3fe4f4beeff721dfdff45ea99300b357322bbda46e6	SAMEA7714828
PXD015957-Sample 30	Homo sapiens	not applicable	not available	malignant melanoma	not available	54Y	female	overexpressed both PSMB8 and PSMB11	not available	A375	3	not synthetic	run 30	A375_OE3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/02/PXD015957/A375_OE3.raw	1	no fractionation	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	not available	NT= Q Exactive Plus;AC=MS:1002634	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	AC=MS:1000422;NT=HCD	25% NCE	not available	not available	cell	A375	overexpressed both PSMB8 and PSMB11	78ead3103e20df829c046efb8e76e037b1528db015bea325319152b047c12c8f	SAMEA7714829
