source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD021394-Sample-11	homo sapiens	breast	breast cancer	tumor cell	45	female	not available	run 11	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q-Exactive Plus, Q-Exactive HF-X	not available	6	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	ER status (positive, negative), mammographic appearance (spiculated, nonspiculated)	5 ppm	8 ppm	TDM_M1912_275.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD021394-Sample-12	homo sapiens	breast	breast cancer	tumor cell	45	female	not available	run 12	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q-Exactive Plus, Q-Exactive HF-X	not available	6	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	ER status (positive, negative), mammographic appearance (spiculated, nonspiculated)	5 ppm	8 ppm	TDM_M1912_276.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD021394-Sample-13	homo sapiens	breast	breast cancer	tumor cell	45	female	not available	run 13	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q-Exactive Plus, Q-Exactive HF-X	not available	6	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	ER status (positive, negative), mammographic appearance (spiculated, nonspiculated)	5 ppm	8 ppm	TDM_M1912_277.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD021394-Sample-14	homo sapiens	breast	breast cancer	tumor cell	45	female	not available	run 14	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q-Exactive Plus, Q-Exactive HF-X	not available	6	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	ER status (positive, negative), mammographic appearance (spiculated, nonspiculated)	5 ppm	8 ppm	TDM_M1912_279.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD021394-Sample-15	homo sapiens	breast	breast cancer	tumor cell	45	female	not available	run 15	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q-Exactive Plus, Q-Exactive HF-X	not available	6	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	ER status (positive, negative), mammographic appearance (spiculated, nonspiculated)	5 ppm	8 ppm	TDM_M1912_291.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD021394-Sample-16	homo sapiens	breast	breast cancer	tumor cell	45	female	not available	run 16	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q-Exactive Plus, Q-Exactive HF-X	not available	6	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	ER status (positive, negative), mammographic appearance (spiculated, nonspiculated)	5 ppm	8 ppm	TDM_M2002_026.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD021394-Sample-17	homo sapiens	breast	breast cancer	tumor cell	45	female	not available	run 17	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q-Exactive Plus, Q-Exactive HF-X	not available	6	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	ER status (positive, negative), mammographic appearance (spiculated, nonspiculated)	5 ppm	8 ppm	TDM_M2002_034.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD021394-Sample-18	homo sapiens	breast	breast cancer	tumor cell	45	female	not available	run 18	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q-Exactive Plus, Q-Exactive HF-X	not available	6	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	ER status (positive, negative), mammographic appearance (spiculated, nonspiculated)	5 ppm	8 ppm	TDM_M2002_063.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD021394-Sample-19	homo sapiens	breast	breast cancer	tumor cell	45	female	not available	run 19	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q-Exactive Plus, Q-Exactive HF-X	not available	6	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	ER status (positive, negative), mammographic appearance (spiculated, nonspiculated)	5 ppm	8 ppm	TDM_M2002_070.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD021394-Sample-20	homo sapiens	breast	breast cancer	tumor cell	45	female	not available	run 20	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q-Exactive Plus, Q-Exactive HF-X	not available	6	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	ER status (positive, negative), mammographic appearance (spiculated, nonspiculated)	5 ppm	8 ppm	TDM_M2002_094.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD021394-Sample-21	homo sapiens	breast	breast cancer	tumor cell	45	female	not available	run 21	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q-Exactive Plus, Q-Exactive HF-X	not available	6	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	ER status (positive, negative), mammographic appearance (spiculated, nonspiculated)	5 ppm	8 ppm	TDM_M2002_095.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD021394-Sample-22	homo sapiens	breast	breast cancer	tumor cell	45	female	not available	run 22	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q-Exactive Plus, Q-Exactive HF-X	not available	6	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	ER status (positive, negative), mammographic appearance (spiculated, nonspiculated)	5 ppm	8 ppm	TDM_M2002_097.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD021394-Sample-23	homo sapiens	breast	breast cancer	tumor cell	45	female	not available	run 23	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q-Exactive Plus, Q-Exactive HF-X	not available	6	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	ER status (positive, negative), mammographic appearance (spiculated, nonspiculated)	5 ppm	8 ppm	TDM_M2002_098.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD021394-Sample-24	homo sapiens	breast	breast cancer	tumor cell	45	female	not available	run 24	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q-Exactive Plus, Q-Exactive HF-X	not available	6	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	ER status (positive, negative), mammographic appearance (spiculated, nonspiculated)	5 ppm	8 ppm	TDM_M2002_109.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
